User,dx,dy,Diversionx,Diversiony,type,distState,distArea,Month,Year,endOfMonUse,eoyForecast,approvedAnnualVol,forecastedExcess
Imperial Irrigation District,699103.7691,27155498.51,998719.6702,26754185.72,User,CA,965850.9077,2,2007,106770,1174470,1233193.5,-58723.5
Coachella Valley Water District,699103.7691,27021727.58,998719.6702,26754185.72,User,CA,643409.9208,2,2007,138630,1524930,1555428.6,-30498.6
Palo Verde ID,699103.7691,26887956.65,998719.6702,26754185.72,User,CA,22715.52568,2,2007,180786,1988646,1988646,0
Bard Water District,699103.7691,26754185.72,998719.6702,26754185.72,User,CA,17345.36361,2,2007,71683,788513,796398.13,-7885.13
Colorado River Indian Tribes,699103.7691,26620414.79,998719.6702,26754185.72,User,"CA, AZ",275297.8585,2,2007,122461,1347071,1293188.16,53882.84
Chemehuevi Indian Tribe,699103.7691,26486643.86,998719.6702,26754185.72,User,CA,31345.4648,2,2007,54038,594418,612250.54,-17832.54
Cocopah Indian Tribe,699103.7691,26352872.93,998719.6702,26754185.72,User,AZ,5051.562495,2,2007,42353,465883,512471.3,-46588.3
Quechan Indian Tribe,699103.7691,26219102.01,998719.6702,26754185.72,User,CA,45046.9459,2,2007,74918,824098,815857.02,8240.98
Southern Nevada Water Authority,2001077.088,27049702.93,1905787.703,27117496.67,User,NV,4828668.247,3,2007,185858,1858580,1672722,185858
Central Arizona Water Conservation District,2001077.088,27185290.41,1905787.703,27117496.67,User,AZ,15189840.29,3,2007,177796,1777960,1617943.6,160016.4
Wellton Mohawk IDD,1424007.529,26674720.82,1017148.235,26151687.08,User,AZ,126708.0774,3,2007,198280,1982800,1923316,59484
North Gila Valley IDD,1424007.529,26543962.39,1017148.235,26151687.08,User,AZ,7759.295221,3,2007,20184,201840,197803.2,4036.8
Yuma IDD,1424007.529,26413203.95,1017148.235,26151687.08,User,AZ,14273.50803,3,2007,174542,1745420,1605786.4,139633.6
Yuma Mesa IDD,1424007.529,26282445.52,1017148.235,26151687.08,User,AZ,55357.02547,3,2007,14553,145530,157172.4,-11642.4
Unit B IDD,1424007.529,26151687.08,1017148.235,26151687.08,User,AZ,3389.838218,3,2007,178977,1789770,1897156.2,-107386.2
Yuma County WUA,1424007.529,26020928.64,1017148.235,26151687.08,User,AZ,58031.52413,3,2007,188712,1887120,1755021.6,132098.4
Bullhead City,1424007.529,25890170.21,1017148.235,26151687.08,User,AZ,38491.85609,3,2007,34981,349810,318327.1,31482.9
Lake Havasu City,1424007.529,25759411.77,1017148.235,26151687.08,User,AZ,29714.58741,3,2007,125937,1259370,1309744.8,-50374.8
City of Yuma,1424007.529,25628653.34,1017148.235,26151687.08,User,AZ,78673.66559,3,2007,93739,937390,853024.9,84365.1
Mohave IDD,1076498.022,26628191.41,936085.2364,26495712.85,User,AZ,32879.55456,3,2007,136604,1366040,1256756.8,109283.2
Cibola Valley IDD,1076498.022,26495712.85,936085.2364,26495712.85,User,AZ,7146.580302,3,2007,150701,1507010,1371379.1,135630.9
Fort Mojave Indian Tribe,1076498.022,26363234.29,936085.2364,26495712.85,User,"CA, AZ, NV",20975.1735,3,2007,46741,467410,439365.4,28044.6
Metropolitan Water District of Southern California,699103.7691,27289269.43,998719.6702,26754185.72,User,CA,3369831.864,3,2007,32498,324980,334729.4,-9749.4
Imperial Irrigation District,699103.7691,27155498.51,998719.6702,26754185.72,User,CA,965850.9077,3,2007,28917,289170,266036.4,23133.6
Coachella Valley Water District,699103.7691,27021727.58,998719.6702,26754185.72,User,CA,643409.9208,3,2007,125576,1255760,1255760,0
Palo Verde ID,699103.7691,26887956.65,998719.6702,26754185.72,User,CA,22715.52568,3,2007,101060,1010600,970176,40424
Bard Water District,699103.7691,26754185.72,998719.6702,26754185.72,User,CA,17345.36361,3,2007,196273,1962730,1903848.1,58881.9
Colorado River Indian Tribes,699103.7691,26620414.79,998719.6702,26754185.72,User,"CA, AZ",275297.8585,3,2007,124517,1245170,1307428.5,-62258.5
Chemehuevi Indian Tribe,699103.7691,26486643.86,998719.6702,26754185.72,User,CA,31345.4648,3,2007,138233,1382330,1465269.8,-82939.8
Cocopah Indian Tribe,699103.7691,26352872.93,998719.6702,26754185.72,User,AZ,5051.562495,3,2007,131628,1316280,1303117.2,13162.8
Quechan Indian Tribe,699103.7691,26219102.01,998719.6702,26754185.72,User,CA,45046.9459,3,2007,67924,679240,679240,0
Southern Nevada Water Authority,2001077.088,27049702.93,1905787.703,27117496.67,User,NV,4828668.247,4,2007,157573,1418157,1503246.42,-85089.42
Central Arizona Water Conservation District,2001077.088,27185290.41,1905787.703,27117496.67,User,AZ,15189840.29,4,2007,183653,1652877,1586761.92,66115.08
Wellton Mohawk IDD,1424007.529,26674720.82,1017148.235,26151687.08,User,AZ,126708.0774,4,2007,112841,1015569,995257.62,20311.38
North Gila Valley IDD,1424007.529,26543962.39,1017148.235,26151687.08,User,AZ,7759.295221,4,2007,191401,1722609,1550348.1,172260.9
Yuma IDD,1424007.529,26413203.95,1017148.235,26151687.08,User,AZ,14273.50803,4,2007,116620,1049580,955117.8,94462.2
Yuma Mesa IDD,1424007.529,26282445.52,1017148.235,26151687.08,User,AZ,55357.02547,4,2007,116520,1048680,975272.4,73407.6
Unit B IDD,1424007.529,26151687.08,1017148.235,26151687.08,User,AZ,3389.838218,4,2007,178813,1609317,1721969.19,-112652.19
Yuma County WUA,1424007.529,26020928.64,1017148.235,26151687.08,User,AZ,58031.52413,4,2007,179717,1617453,1471882.23,145570.77
Bullhead City,1424007.529,25890170.21,1017148.235,26151687.08,User,AZ,38491.85609,4,2007,146368,1317312,1396350.72,-79038.72
Lake Havasu City,1424007.529,25759411.77,1017148.235,26151687.08,User,AZ,29714.58741,4,2007,43890,395010,391059.9,3950.1
City of Yuma,1424007.529,25628653.34,1017148.235,26151687.08,User,AZ,78673.66559,4,2007,126983,1142847,1108561.59,34285.41
Mohave IDD,1076498.022,26628191.41,936085.2364,26495712.85,User,AZ,32879.55456,4,2007,58374,525366,472829.4,52536.6
Cibola Valley IDD,1076498.022,26495712.85,936085.2364,26495712.85,User,AZ,7146.580302,4,2007,119204,1072836,1029922.56,42913.44
Fort Mojave Indian Tribe,1076498.022,26363234.29,936085.2364,26495712.85,User,"CA, AZ, NV",20975.1735,4,2007,168164,1513476,1664823.6,-151347.6
Metropolitan Water District of Southern California,699103.7691,27289269.43,998719.6702,26754185.72,User,CA,3369831.864,4,2007,123290,1109610,1054129.5,55480.5
Imperial Irrigation District,699103.7691,27155498.51,998719.6702,26754185.72,User,CA,965850.9077,4,2007,164589,1481301,1570179.06,-88878.06
Coachella Valley Water District,699103.7691,27021727.58,998719.6702,26754185.72,User,CA,643409.9208,4,2007,51277,461493,475337.79,-13844.79
Palo Verde ID,699103.7691,26887956.65,998719.6702,26754185.72,User,CA,22715.52568,4,2007,72644,653796,712637.64,-58841.64
Bard Water District,699103.7691,26754185.72,998719.6702,26754185.72,User,CA,17345.36361,4,2007,181097,1629873,1695067.92,-65194.92
Colorado River Indian Tribes,699103.7691,26620414.79,998719.6702,26754185.72,User,"CA, AZ",275297.8585,4,2007,36467,328203,338049.09,-9846.09
Chemehuevi Indian Tribe,699103.7691,26486643.86,998719.6702,26754185.72,User,CA,31345.4648,4,2007,28180,253620,266301,-12681
Cocopah Indian Tribe,699103.7691,26352872.93,998719.6702,26754185.72,User,AZ,5051.562495,4,2007,83093,747837,680531.67,67305.33
Quechan Indian Tribe,699103.7691,26219102.01,998719.6702,26754185.72,User,CA,45046.9459,4,2007,111882,1006938,916313.58,90624.42
Southern Nevada Water Authority,2001077.088,27049702.93,1905787.703,27117496.67,User,NV,4828668.247,5,2007,147576,1180608,1216026.24,-35418.24
Central Arizona Water Conservation District,2001077.088,27185290.41,1905787.703,27117496.67,User,AZ,15189840.29,5,2007,173589,1388712,1458147.6,-69435.6
Wellton Mohawk IDD,1424007.529,26674720.82,1017148.235,26151687.08,User,AZ,126708.0774,5,2007,113679,909432,854866.08,54565.92
North Gila Valley IDD,1424007.529,26543962.39,1017148.235,26151687.08,User,AZ,7759.295221,5,2007,174259,1394072,1421953.44,-27881.44
Yuma IDD,1424007.529,26413203.95,1017148.235,26151687.08,User,AZ,14273.50803,5,2007,137997,1103976,1081896.48,22079.52
Yuma Mesa IDD,1424007.529,26282445.52,1017148.235,26151687.08,User,AZ,55357.02547,5,2007,74529,596232,614118.96,-17886.96
Unit B IDD,1424007.529,26151687.08,1017148.235,26151687.08,User,AZ,3389.838218,5,2007,149375,1195000,1302550,-107550
Yuma County WUA,1424007.529,26020928.64,1017148.235,26151687.08,User,AZ,58031.52413,5,2007,135140,1081120,1102742.4,-21622.4
Bullhead City,1424007.529,25890170.21,1017148.235,26151687.08,User,AZ,38491.85609,5,2007,104539,836312,861401.36,-25089.36
Lake Havasu City,1424007.529,25759411.77,1017148.235,26151687.08,User,AZ,29714.58741,5,2007,158711,1269688,1307778.64,-38090.64
City of Yuma,1424007.529,25628653.34,1017148.235,26151687.08,User,AZ,78673.66559,5,2007,130267,1042136,937922.4,104213.6
Mohave IDD,1076498.022,26628191.41,936085.2364,26495712.85,User,AZ,32879.55456,5,2007,141207,1129656,1242621.6,-112965.6
Cibola Valley IDD,1076498.022,26495712.85,936085.2364,26495712.85,User,AZ,7146.580302,5,2007,68728,549824,544325.76,5498.24
Fort Mojave Indian Tribe,1076498.022,26363234.29,936085.2364,26495712.85,User,"CA, AZ, NV",20975.1735,5,2007,184550,1476400,1520692,-44292
Metropolitan Water District of Southern California,699103.7691,27289269.43,998719.6702,26754185.72,User,CA,3369831.864,5,2007,117369,938952,929562.48,9389.52
Imperial Irrigation District,699103.7691,27155498.51,998719.6702,26754185.72,User,CA,965850.9077,5,2007,149931,1199448,1247425.92,-47977.92
Coachella Valley Water District,699103.7691,27021727.58,998719.6702,26754185.72,User,CA,643409.9208,5,2007,90885,727080,683455.2,43624.8
Palo Verde ID,699103.7691,26887956.65,998719.6702,26754185.72,User,CA,22715.52568,5,2007,66894,535152,481636.8,53515.2
Bard Water District,699103.7691,26754185.72,998719.6702,26754185.72,User,CA,17345.36361,5,2007,174930,1399440,1539384,-139944
Colorado River Indian Tribes,699103.7691,26620414.79,998719.6702,26754185.72,User,"CA, AZ",275297.8585,5,2007,73387,587096,540128.32,46967.68
Chemehuevi Indian Tribe,699103.7691,26486643.86,998719.6702,26754185.72,User,CA,31345.4648,5,2007,174277,1394216,1268736.56,125479.44
Cocopah Indian Tribe,699103.7691,26352872.93,998719.6702,26754185.72,User,AZ,5051.562495,5,2007,62494,499952,524949.6,-24997.6
Quechan Indian Tribe,699103.7691,26219102.01,998719.6702,26754185.72,User,CA,45046.9459,5,2007,46719,373752,403652.16,-29900.16
Southern Nevada Water Authority,2001077.088,27049702.93,1905787.703,27117496.67,User,NV,4828668.247,6,2007,197971,1385797,1427370.91,-41573.91
Central Arizona Water Conservation District,2001077.088,27185290.41,1905787.703,27117496.67,User,AZ,15189840.29,6,2007,36939,258573,243058.62,15514.38
Wellton Mohawk IDD,1424007.529,26674720.82,1017148.235,26151687.08,User,AZ,126708.0774,6,2007,172931,1210517,1258937.68,-48420.68
North Gila Valley IDD,1424007.529,26543962.39,1017148.235,26151687.08,User,AZ,7759.295221,6,2007,137302,961114,932280.58,28833.42
Yuma IDD,1424007.529,26413203.95,1017148.235,26151687.08,User,AZ,14273.50803,6,2007,179021,1253147,1228084.06,25062.94
Yuma Mesa IDD,1424007.529,26282445.52,1017148.235,26151687.08,User,AZ,55357.02547,6,2007,52707,368949,339433.08,29515.92
Unit B IDD,1424007.529,26151687.08,1017148.235,26151687.08,User,AZ,3389.838218,6,2007,118530,829710,838007.1,-8297.1
Yuma County WUA,1424007.529,26020928.64,1017148.235,26151687.08,User,AZ,58031.52413,6,2007,50743,355201,337440.95,17760.05
Bullhead City,1424007.529,25890170.21,1017148.235,26151687.08,User,AZ,38491.85609,6,2007,150152,1051064,1145659.76,-94595.76
Lake Havasu City,1424007.529,25759411.77,1017148.235,26151687.08,User,AZ,29714.58741,6,2007,154646,1082522,1190774.2,-108252.2
City of Yuma,1424007.529,25628653.34,1017148.235,26151687.08,User,AZ,78673.66559,6,2007,111301,779107,841435.56,-62328.56
Mohave IDD,1076498.022,26628191.41,936085.2364,26495712.85,User,AZ,32879.55456,6,2007,191083,1337581,1270701.95,66879.05
Cibola Valley IDD,1076498.022,26495712.85,936085.2364,26495712.85,User,AZ,7146.580302,6,2007,187141,1309987,1414785.96,-104798.96
Fort Mojave Indian Tribe,1076498.022,26363234.29,936085.2364,26495712.85,User,"CA, AZ, NV",20975.1735,6,2007,101242,708694,758302.58,-49608.58
Metropolitan Water District of Southern California,699103.7691,27289269.43,998719.6702,26754185.72,User,CA,3369831.864,6,2007,117651,823557,823557,0
Imperial Irrigation District,699103.7691,27155498.51,998719.6702,26754185.72,User,CA,965850.9077,6,2007,118567,829969,879767.14,-49798.14
Coachella Valley Water District,699103.7691,27021727.58,998719.6702,26754185.72,User,CA,643409.9208,6,2007,59303,415121,390213.74,24907.26
Palo Verde ID,699103.7691,26887956.65,998719.6702,26754185.72,User,CA,22715.52568,6,2007,114199,799393,831368.72,-31975.72
Bard Water District,699103.7691,26754185.72,998719.6702,26754185.72,User,CA,17345.36361,6,2007,173761,1216327,1264980.08,-48653.08
Colorado River Indian Tribes,699103.7691,26620414.79,998719.6702,26754185.72,User,"CA, AZ",275297.8585,6,2007,133275,932925,886278.75,46646.25
Chemehuevi Indian Tribe,699103.7691,26486643.86,998719.6702,26754185.72,User,CA,31345.4648,6,2007,59282,414974,390075.56,24898.44
Cocopah Indian Tribe,699103.7691,26352872.93,998719.6702,26754185.72,User,AZ,5051.562495,6,2007,28442,199094,207057.76,-7963.76
Quechan Indian Tribe,699103.7691,26219102.01,998719.6702,26754185.72,User,CA,45046.9459,6,2007,64578,452046,420402.78,31643.22
Southern Nevada Water Authority,2001077.088,27049702.93,1905787.703,27117496.67,User,NV,4828668.247,7,2007,115095,690570,718192.8,-27622.8
Central Arizona Water Conservation District,2001077.088,27185290.41,1905787.703,27117496.67,User,AZ,15189840.29,7,2007,175310,1051860,1051860,0
Wellton Mohawk IDD,1424007.529,26674720.82,1017148.235,26151687.08,User,AZ,126708.0774,7,2007,167193,1003158,1013189.58,-10031.58
North Gila Valley IDD,1424007.529,26543962.39,1017148.235,26151687.08,User,AZ,7759.295221,7,2007,143310,859860,902853,-42993
Yuma IDD,1424007.529,26413203.95,1017148.235,26151687.08,User,AZ,14273.50803,7,2007,43341,260046,234041.4,26004.6
Yuma Mesa IDD,1424007.529,26282445.52,1017148.235,26151687.08,User,AZ,55357.02547,7,2007,102157,612942,643589.1,-30647.1
Unit B IDD,1424007.529,26151687.08,1017148.235,26151687.08,User,AZ,3389.838218,7,2007,180428,1082568,995962.56,86605.44
Yuma County WUA,1424007.529,26020928.64,1017148.235,26151687.08,User,AZ,58031.52413,7,2007,59946,359676,323708.4,35967.6
Bullhead City,1424007.529,25890170.21,1017148.235,26151687.08,User,AZ,38491.85609,7,2007,197442,1184652,1220191.56,-35539.56
Lake Havasu City,1424007.529,25759411.77,1017148.235,26151687.08,User,AZ,29714.58741,7,2007,178734,1072404,1179644.4,-107240.4
City of Yuma,1424007.529,25628653.34,1017148.235,26151687.08,User,AZ,78673.66559,7,2007,47745,286470,269281.8,17188.2
Mohave IDD,1076498.022,26628191.41,936085.2364,26495712.85,User,AZ,32879.55456,7,2007,179591,1077546,1152974.22,-75428.22
Cibola Valley IDD,1076498.022,26495712.85,936085.2364,26495712.85,User,AZ,7146.580302,7,2007,37762,226572,246963.48,-20391.48
Fort Mojave Indian Tribe,1076498.022,26363234.29,936085.2364,26495712.85,User,"CA, AZ, NV",20975.1735,7,2007,177367,1064202,1021633.92,42568.08
Metropolitan Water District of Southern California,699103.7691,27289269.43,998719.6702,26754185.72,User,CA,3369831.864,7,2007,137688,826128,892218.24,-66090.24
Imperial Irrigation District,699103.7691,27155498.51,998719.6702,26754185.72,User,CA,965850.9077,7,2007,146847,881082,863460.36,17621.64
Coachella Valley Water District,699103.7691,27021727.58,998719.6702,26754185.72,User,CA,643409.9208,7,2007,180864,1085184,1150295.04,-65111.04
Palo Verde ID,699103.7691,26887956.65,998719.6702,26754185.72,User,CA,22715.52568,7,2007,37541,225246,247770.6,-22524.6
Bard Water District,699103.7691,26754185.72,998719.6702,26754185.72,User,CA,17345.36361,7,2007,58552,351312,344285.76,7026.24
Colorado River Indian Tribes,699103.7691,26620414.79,998719.6702,26754185.72,User,"CA, AZ",275297.8585,7,2007,188910,1133460,1212802.2,-79342.2
Chemehuevi Indian Tribe,699103.7691,26486643.86,998719.6702,26754185.72,User,CA,31345.4648,7,2007,174215,1045290,1003478.4,41811.6
Cocopah Indian Tribe,699103.7691,26352872.93,998719.6702,26754185.72,User,AZ,5051.562495,7,2007,184583,1107498,996748.2,110749.8
Quechan Indian Tribe,699103.7691,26219102.01,998719.6702,26754185.72,User,CA,45046.9459,7,2007,71767,430602,417683.94,12918.06
Southern Nevada Water Authority,2001077.088,27049702.93,1905787.703,27117496.67,User,NV,4828668.247,8,2007,79873,399365,435307.85,-35942.85
Central Arizona Water Conservation District,2001077.088,27185290.41,1905787.703,27117496.67,User,AZ,15189840.29,8,2007,173255,866275,909588.75,-43313.75
Wellton Mohawk IDD,1424007.529,26674720.82,1017148.235,26151687.08,User,AZ,126708.0774,8,2007,146567,732835,784133.45,-51298.45
North Gila Valley IDD,1424007.529,26543962.39,1017148.235,26151687.08,User,AZ,7759.295221,8,2007,143958,719790,784571.1,-64781.1
Yuma IDD,1424007.529,26413203.95,1017148.235,26151687.08,User,AZ,14273.50803,8,2007,200047,1000235,1100258.5,-100023.5
Yuma Mesa IDD,1424007.529,26282445.52,1017148.235,26151687.08,User,AZ,55357.02547,8,2007,195106,975530,1014551.2,-39021.2
Unit B IDD,1424007.529,26151687.08,1017148.235,26151687.08,User,AZ,3389.838218,8,2007,139395,696975,703944.75,-6969.75
Yuma County WUA,1424007.529,26020928.64,1017148.235,26151687.08,User,AZ,58031.52413,8,2007,171449,857245,908679.7,-51434.7
Bullhead City,1424007.529,25890170.21,1017148.235,26151687.08,User,AZ,38491.85609,8,2007,145321,726605,653944.5,72660.5
Lake Havasu City,1424007.529,25759411.77,1017148.235,26151687.08,User,AZ,29714.58741,8,2007,23321,116605,118937.1,-2332.1
City of Yuma,1424007.529,25628653.34,1017148.235,26151687.08,User,AZ,78673.66559,8,2007,60743,303715,303715,0
Mohave IDD,1076498.022,26628191.41,936085.2364,26495712.85,User,AZ,32879.55456,8,2007,12348,61740,61740,0
Cibola Valley IDD,1076498.022,26495712.85,936085.2364,26495712.85,User,AZ,7146.580302,8,2007,200019,1000095,1060100.7,-60005.7
Fort Mojave Indian Tribe,1076498.022,26363234.29,936085.2364,26495712.85,User,"CA, AZ, NV",20975.1735,8,2007,120691,603455,627593.2,-24138.2
Metropolitan Water District of Southern California,699103.7691,27289269.43,998719.6702,26754185.72,User,CA,3369831.864,8,2007,59266,296330,281513.5,14816.5
Imperial Irrigation District,699103.7691,27155498.51,998719.6702,26754185.72,User,CA,965850.9077,8,2007,67167,335835,325759.95,10075.05
Coachella Valley Water District,699103.7691,27021727.58,998719.6702,26754185.72,User,CA,643409.9208,8,2007,50486,252430,267575.8,-15145.8
Palo Verde ID,699103.7691,26887956.65,998719.6702,26754185.72,User,CA,22715.52568,8,2007,133957,669785,663087.15,6697.85
Bard Water District,699103.7691,26754185.72,998719.6702,26754185.72,User,CA,17345.36361,8,2007,185390,926950,843524.5,83425.5
Colorado River Indian Tribes,699103.7691,26620414.79,998719.6702,26754185.72,User,"CA, AZ",275297.8585,8,2007,96859,484295,464923.2,19371.8
Chemehuevi Indian Tribe,699103.7691,26486643.86,998719.6702,26754185.72,User,CA,31345.4648,8,2007,13373,66865,66865,0
Cocopah Indian Tribe,699103.7691,26352872.93,998719.6702,26754185.72,User,AZ,5051.562495,8,2007,199005,995025,905472.75,89552.25
Quechan Indian Tribe,699103.7691,26219102.01,998719.6702,26754185.72,User,CA,45046.9459,8,2007,126580,632900,620242,12658
Southern Nevada Water Authority,2001077.088,27049702.93,1905787.703,27117496.67,User,NV,4828668.247,9,2007,87700,350800,361324,-10524
Central Arizona Water Conservation District,2001077.088,27185290.41,1905787.703,27117496.67,User,AZ,15189840.29,9,2007,38871,155484,157038.84,-1554.84
Wellton Mohawk IDD,1424007.529,26674720.82,1017148.235,26151687.08,User,AZ,126708.0774,9,2007,83032,332128,322164.16,9963.84
North Gila Valley IDD,1424007.529,26543962.39,1017148.235,26151687.08,User,AZ,7759.295221,9,2007,84502,338008,371808.8,-33800.8
Yuma IDD,1424007.529,26413203.95,1017148.235,26151687.08,User,AZ,14273.50803,9,2007,139035,556140,528333,27807
Yuma Mesa IDD,1424007.529,26282445.52,1017148.235,26151687.08,User,AZ,55357.02547,9,2007,52340,209360,209360,0
Unit B IDD,1424007.529,26151687.08,1017148.235,26151687.08,User,AZ,3389.838218,9,2007,50603,202412,202412,0
Yuma County WUA,1424007.529,26020928.64,1017148.235,26151687.08,User,AZ,58031.52413,9,2007,129388,517552,569307.2,-51755.2
Bullhead City,1424007.529,25890170.21,1017148.235,26151687.08,User,AZ,38491.85609,9,2007,55393,221572,201630.52,19941.48
Lake Havasu City,1424007.529,25759411.77,1017148.235,26151687.08,User,AZ,29714.58741,9,2007,190918,763672,778945.44,-15273.44
City of Yuma,1424007.529,25628653.34,1017148.235,26151687.08,User,AZ,78673.66559,9,2007,86941,347764,368629.84,-20865.84
Mohave IDD,1076498.022,26628191.41,936085.2364,26495712.85,User,AZ,32879.55456,9,2007,20868,83472,81802.56,1669.44
Cibola Valley IDD,1076498.022,26495712.85,936085.2364,26495712.85,User,AZ,7146.580302,9,2007,51264,205056,200954.88,4101.12
Fort Mojave Indian Tribe,1076498.022,26363234.29,936085.2364,26495712.85,User,"CA, AZ, NV",20975.1735,9,2007,157843,631372,662940.6,-31568.6
Metropolitan Water District of Southern California,699103.7691,27289269.43,998719.6702,26754185.72,User,CA,3369831.864,9,2007,200175,800700,840735,-40035
Imperial Irrigation District,699103.7691,27155498.51,998719.6702,26754185.72,User,CA,965850.9077,9,2007,20612,82448,86570.4,-4122.4
Coachella Valley Water District,699103.7691,27021727.58,998719.6702,26754185.72,User,CA,643409.9208,9,2007,46040,184160,173110.4,11049.6
